start_dt,end_dt,machine,benchmark,model,#SDC,#DUE,#abort,#end,acc_time,Time Beam Off,acc_err,Flux 1h,Fluency(Flux * $AccTime),Cross Section SDC,Cross Section DUE
2021-06-02 17:16:39,2021-06-02 18:16:39,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,102,2,1,1,3636.800467,2153.124999999987,189,1576088.965140293,5731921084.455764,1.7795081002878937e-08,3.4892315691919485e-10
2021-06-02 18:32:29,2021-06-02 19:32:29,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,207,7,0,0,2632.623451,36.03699999999999,430,3882244.669697274,10220488359.964792,2.025343532612889e-08,6.848987791444551e-10
2021-06-02 19:35:40,2021-06-02 20:35:40,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,355,9,0,0,4872.652015,126.128,648,3784108.043548883,18438641683.37617,1.9253045104730212e-08,4.881053688523152e-10
2021-06-02 21:30:56,2021-06-02 22:30:56,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,279,7,0,0,3872.283949,135.13599999999997,528,3774295.5791701465,14615144190.002216,1.9089787714229708e-08,4.789552473104228e-10
2021-06-02 22:59:37,2021-06-02 23:59:37,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,306,11,1,1,4475.602038000001,12.013,561,3908414.146188698,17492506318.03017,1.7493205058019304e-08,6.288407047000402e-10
2021-06-03 00:46:28,2021-06-03 01:46:28,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,280,8,0,0,3850.984887,12.013,506,3908414.146188698,15051243809.109682,1.860311370615972e-08,5.315175344617062e-10
2021-06-03 02:17:05,2021-06-03 03:17:05,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,215,8,1,1,2902.727488,0.0,394,3921499.973739959,11383045767.966255,1.8887739220468127e-08,7.027995989011395e-10
2021-06-03 03:29:35,2021-06-03 04:29:35,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,224,4,0,0,2852.68064,0.0,354,3921499.973739959,11186787054.84849,2.0023622412917537e-08,3.57564685944956e-10
2021-06-03 04:34:17,2021-06-03 05:34:17,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,264,6,0,0,3318.7185400000003,12.013,493,3908414.146188698,12970926488.954702,2.0353210715117943e-08,4.625729707981351e-10
2021-06-03 05:51:56,2021-06-03 06:51:56,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,150,9,0,0,2374.669677,84.08700000000002,318,3829903.538103328,9094755797.768986,1.6493021180051495e-08,9.895812708030895e-10
2021-06-03 06:52:00,2021-06-03 07:52:00,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,212,3,0,0,2960.1854080000003,9.007,360,3911688.598666771,11579323510.413343,1.830849615777185e-08,2.5908249279865825e-10
2021-06-03 07:56:58,2021-06-03 08:56:58,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,14,3,0,0,265.962785,1864.8799999999871,23,1890075.8428988133,502689835.0385909,2.785017524558705e-08,5.967894695482938e-09
2021-06-03 11:45:47,2021-06-03 12:45:47,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,160,1,0,0,3043.268865,1120.1009999999978,349,2701367.7398271547,8220988335.531401,1.9462380126301163e-08,1.2163987578938222e-10
2021-06-03 12:49:33,2021-06-03 13:49:33,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,182,3,0,0,2946.105794,312.313,325,3581295.69004589,10550875982.471424,1.724975256105404e-08,2.843365806767149e-10
2021-06-03 13:54:18,2021-06-03 14:54:18,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,179,10,0,0,2939.509311,183.18699999999995,326,3721953.358270653,10940716551.744305,1.63609027940187e-08,9.140169158669664e-10
2021-06-03 15:05:35,2021-06-03 16:05:35,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,273,6,0,0,4344.10509,441.454,489,3440621.682237903,14946422162.574038,1.826524080683297e-08,4.0143386388643884e-10
2021-06-03 16:43:15,2021-06-03 17:43:15,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,116,4,0,0,2459.559754,519.542,219,3355559.990585291,8253200304.9762,1.4055153844994984e-08,4.846604774136201e-10
2021-06-03 17:53:13,2021-06-03 18:53:13,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,189,5,0,0,3064.24637,1273.9659999999972,352,2533761.741643962,7764070219.277388,2.4342901939595093e-08,6.439921148041028e-10
2021-06-03 20:31:06,2021-06-03 21:31:06,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,162,8,0,0,2685.590811,0.0,310,3921499.973739959,10531544294.812777,1.5382359458886932e-08,7.596226893277497e-10
2021-06-03 22:43:40,2021-06-03 23:43:40,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,287,9,0,0,4312.402357999999,0.0,610,3921499.973739959,16911085733.653131,1.6971116137674635e-08,5.321952795786471e-10
2021-06-04 01:29:05,2021-06-04 02:29:05,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,197,8,0,0,3349.578894,0.0,333,3921499.973739959,13135373544.860922,1.4997670171098727e-08,6.090424434963951e-10
2021-06-04 03:49:15,2021-06-04 04:49:15,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,357,11,0,0,5609.4850830000005,0.0,834,3921499.973739959,21997595605.67919,1.6229046410319142e-08,5.000546512983489e-10
2021-06-04 07:01:50,2021-06-04 08:01:50,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,134,10,0,0,2402.0162800000003,228.24399999999997,270,3672872.518182653,8822299583.039328,1.518878368828145e-08,1.1334913200210036e-09
2021-06-04 09:30:38,2021-06-04 10:30:38,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,164,9,0,0,4930.212708,183.17799999999997,295,3721963.1620205874,18350070080.101765,8.937295568033631e-09,4.90461342148187e-10
2021-06-04 12:51:27,2021-06-04 13:51:27,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,122,6,0,0,2743.51813,585.5940000000002,216,3283609.180511548,9008641318.567877,1.3542552720857426e-08,6.66027182992988e-10
2021-06-04 15:01:26,2021-06-04 16:01:26,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,178,5,0,0,3880.55859,462.4719999999996,362,3417726.658224552,13262688541.84528,1.3421109863086198e-08,3.769974680642191e-10
2021-06-04 17:30:04,2021-06-04 18:30:04,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,180,6,0,0,2828.113888,0.0,448,3921499.973739959,11090448537.525612,1.623018215998681e-08,5.410060719995604e-10
2021-06-03 08:06:06,2021-06-03 11:12:30,carol-raspberry1,Classification,tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite,175,1,0,0,11184.069164,9994.2600000003,310,417185.9577191349,4665836605.380384,3.750667132196608e-08,2.1432383612552043e-10
2021-05-07 09:44:38,2021-05-07 10:44:38,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,1,2,0,0,319.055369,3567.6470000000045,1,35242.302402886264,11244245.797562463,8.893437745880483e-08,1.7786875491760966e-07
2021-05-07 23:16:41,2021-05-08 00:16:41,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,7,4,0,0,3516.646596,258.23400000000004,137,3640204.244790302,12801311866.186567,5.468189567734715e-10,3.124679752991265e-10
2021-05-08 02:01:49,2021-05-08 03:01:49,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,7,4,0,0,3273.34719,649.1389999999996,65,3214389.259447297,10521812049.977991,6.652846455297251e-10,3.8016265458841447e-10
2021-05-08 04:08:01,2021-05-08 05:08:01,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,10,7,0,0,3607.201359,0.0,139,3921499.973739959,14145640034.593245,7.069316040521984e-10,4.948521228365388e-10
2021-05-08 06:36:07,2021-05-08 07:36:07,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,10,4,0,0,3708.118434,0.0,255,3921499.973739959,14541386341.555656,6.876923399952927e-10,2.7507693599811706e-10
2021-05-08 09:01:01,2021-05-08 10:01:01,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,2,4,0,0,3114.938626,2535.67199999999,2,1159378.3955696505,3611392546.509811,5.538029926801719e-10,1.1076059853603435e-09
2021-05-08 11:02:44,2021-05-08 12:02:44,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,5,3,1,1,3790.81523,1615.5549999999914,33989,2161666.948719007,8194479991.391641,6.10166844662814e-10,3.6610010679768837e-10
2021-05-08 13:22:58,2021-05-08 14:22:58,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,7,3,0,0,3999.619764,1627.6589999999917,69,2148481.994362855,8593111047.25181,8.146060212079642e-10,3.491168662319847e-10
2021-05-08 16:09:33,2021-05-08 17:09:33,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,1,1,0,0,690.586959,255.2329999999999,1,3643473.250740633,2516135112.4268184,3.9743493704338375e-10,3.9743493704338375e-10
2021-05-09 10:18:03,2021-05-09 11:18:03,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,5,4,0,0,3135.5286450000003,1044.9559999999994,156,2783223.6052512336,8726877339.705416,5.729426237322112e-10,4.5835409898576887e-10
2021-05-09 12:28:44,2021-05-09 13:28:44,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,8,4,0,0,4197.094257000001,1444.3619999999928,145,2348148.433442468,9855400304.58493,8.117377024531655e-10,4.0586885122658277e-10
2021-05-09 17:14:55,2021-05-09 18:14:55,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,3,7,0,0,2879.044815,665.9679999999998,62,3196057.336375611,9201592302.734917,3.2603052833674606e-10,7.607378994524073e-10
2021-05-16 06:05:58,2021-05-16 07:05:58,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,8,7,0,0,3055.670577,0.0,159,3921499.973739959,11982812087.463465,6.676229203635495e-10,5.841700553181057e-10
2021-05-16 11:36:48,2021-05-16 12:36:48,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,3,10,0,0,3040.057227,0.0,66,3921499.973739959,11921584335.848473,2.516444052640665e-10,8.388146842135548e-10
2021-05-18 02:16:08,2021-05-18 03:16:08,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,7,5,0,0,3345.4162960000003,12.011,196,3908416.324799794,13075279664.537664,5.35361397965748e-10,3.8240099854696285e-10
2021-05-18 05:14:10,2021-05-18 06:14:10,carol-raspberry1,Conv,conv_2d_1_1000_1000_1_40_40_1_1_quant_edgetpu.tflite,7,9,0,0,3089.926463,0.0,105,3921499.973739959,12117146543.512903,5.776937643580415e-10,7.427491256031961e-10
