time;machine;benchmark;#SDC;#abort;#end;acc_time;header;acc_err;file_path
Thu May 27 10:16:02 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;53.186364; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_16_02_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:18:05 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;4.07487; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_18_05_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:19:34 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;332.280198; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_256_256_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_256_256_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_19_34_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 10:29:14 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;0;0;0;11650.825162; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_512_512_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_512_512_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_512_512_1_40_40_1_1_quant_edgetpu.out;0;/tmp/parserSDC/2021_05_27_10_29_14_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
Thu May 27 14:32:41 2021;carol-raspberry1;Detection_ECC_OFF;0;0;0;376.907518; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssdlite_mobiledet_coco_qat_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;0;/tmp/parserSDC/2021_05_27_14_32_41_Detection_ECC_OFF_carol-raspberry1.log
Thu May 27 14:47:14 2021;carol-raspberry1;Detection_ECC_OFF;23;0;0;7192.351471; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssdlite_mobiledet_coco_qat_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;187;/tmp/parserSDC/2021_05_27_14_47_14_Detection_ECC_OFF_carol-raspberry1.log
Thu May 27 19:12:38 2021;carol-raspberry1;Detection_ECC_OFF;32;0;0;12076.164137; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssd_mobilenet_v2_coco_quant_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;1511;/tmp/parserSDC/2021_05_27_19_12_38_Detection_ECC_OFF_carol-raspberry1.log
Fri May 28 02:48:30 2021;carol-raspberry1;Detection_ECC_OFF;394;0;0;73196.976847; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssdlite_mobiledet_coco_qat_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;4023;/tmp/parserSDC/2021_05_28_02_48_30_Detection_ECC_OFF_carol-raspberry1.log
Sat May 29 23:50:00 2021;carol-raspberry1;Detection_ECC_OFF;54;0;0;12950.235196; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssd_mobilenet_v2_coco_quant_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;2249;/tmp/parserSDC/2021_05_29_23_50_00_Detection_ECC_OFF_carol-raspberry1.log
Sun May 30 08:19:18 2021;carol-raspberry1;Detection_ECC_OFF;82;0;0;13399.596609; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/ssdlite_mobiledet_coco_qat_postprocess_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/VOC2012.txt;953;/tmp/parserSDC/2021_05_30_08_19_18_Detection_ECC_OFF_carol-raspberry1.log
Sun May 30 16:36:53 2021;carol-raspberry1;Coral-Conv2d_ECC_OFF;1;0;0;18168.184841; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/models/conv_2d_1_1024_1024_1_40_40_1_1_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/inputs/rand-conv_2d_1_1024_1024_1_40_40_1_1.bmp, golden_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/elementary-ops/golden/golden_rand_conv_2d_1_1024_1024_1_40_40_1_1_quant_edgetpu.out;1;/tmp/parserSDC/2021_05_30_16_36_53_Coral-Conv2d_ECC_OFF_carol-raspberry1.log
