time;machine;benchmark;#SDC;#abort;#end;acc_time;header;acc_err;file_path
Fri Jun  4 10:28:26 2021;carol-raspberry1;Classification_ECC_OFF;27;0;0;2573.466892; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;50;/tmp/parserSDC/2021_06_04_10_28_26_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 11:19:21 2021;carol-raspberry1;Classification_ECC_OFF;8;0;0;113.889681; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;12;/tmp/parserSDC/2021_06_04_11_19_21_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 11:22:18 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_11_22_18_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 11:23:41 2021;carol-raspberry1;Classification_ECC_OFF;24;0;0;411.49349; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;45;/tmp/parserSDC/2021_06_04_11_23_41_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 11:32:26 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_11_32_26_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 11:33:50 2021;carol-raspberry1;Classification_ECC_OFF;94;0;0;1189.521238; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;148;/tmp/parserSDC/2021_06_04_11_33_50_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 11:58:34 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_11_58_34_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 12:00:03 2021;carol-raspberry1;Classification_ECC_OFF;167;0;0;2558.138725; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/inception_v4_299_quant_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;319;/tmp/parserSDC/2021_06_04_12_00_03_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 12:51:27 2021;carol-raspberry1;Classification_ECC_OFF;0;0;0;0; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;0;/tmp/parserSDC/2021_06_04_12_51_27_Classification_ECC_OFF_carol-raspberry1.log
Fri Jun  4 12:52:47 2021;carol-raspberry1;Classification_ECC_OFF;45;0;0;834.895515; model_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/models/tfhub_tf2_resnet_50_imagenet_ptq_edgetpu.tflite, input_file: /home/carol/radiation-benchmarks/src/sequential/Coral-TPU/neural-networks/inputs/ILSVRC2012_val_100.txt;79;/tmp/parserSDC/2021_06_04_12_52_47_Classification_ECC_OFF_carol-raspberry1.log
